bg_id,date,station,dino_qpcr,dens,dino_seqs_18s,tot_18s_seqs,
SB174,8/30/17,22,270,0.4,135,89822,
SB185,10/18/17,18,0,0.17,0,164,
SB198,11/14/17,18,78,14.53,39,18545,
SB199,11/14/17,22,148,7.26,74,18938,
