bg_id,date,station,alex_qpcr,dens,alex_seqs_18s,tot_18s_seqs,sxtA
SB148,5/17/17,32,ND,ND,2,81751,NA
SB149,5/17/17,36,1,ND,1,105323,NA
SB150,6/6/17,18,6234,ND,2261,81245,1
SB151,6/6/17,22,729,ND,247,20462,1
SB152,6/6/17,27,3,ND,1,199274,NA
SB153,6/6/17,32,ND,ND,2,151003,NA
SB154,6/6/17,36,5,ND,2,128139,NA
SB155,6/22/17,18,1423,ND,334,11892,1
SB156,6/22/17,22,6179,ND,2007,65515,3
SB157,6/22/17,27,301,ND,134,113936,NA
SB158,6/22/17,32,ND,ND,1,386892,NA
SB159,6/22/17,36,ND,ND,0,172967,NA
SB160,7/31/17,18,56,ND,3,791,2
SB161,7/31/17,22,96,ND,4,1617,NA
SB162,7/31/17,27,1,ND,0,139269,NA
SB163,7/31/17,32,ND,ND,0,83076,NA
SB164,7/31/17,36,ND,ND,0,127695,NA
SB165,8/22/17,6,ND,ND,1,114352,NA
SB166,8/22/17,13,11,ND,2,26162,NA
SB167,8/22/17,18,814,ND,49,5350,0
SB168,8/22/17,22,8,ND,0,40717,NA
SB169,8/22/17,27,ND,ND,0,12206,NA
SB170,8/22/17,32,9,ND,0,32431,NA
SB171,8/22/17,34,12,ND,2,68624,NA
SB172,8/22/17,657,2,ND,1,102612,NA
SB173,8/30/17,18,171,14.53,8,379,4
SB174,8/30/17,22,1591,ND,207,89822,7
SB175,8/30/17,27,2,ND,0,4900,NA
SB176,8/30/17,32,1,ND,0,157303,NA
SB177,8/30/17,36,8,ND,0,129297,NA
SB178,9/28/17,18,39,2.23,1,580,0
SB179,9/28/17,22,3259,18.22,666,151658,0
SB180,9/28/17,27,4,ND,2,27943,NA
SB181,9/28/17,32,1,ND,0,120814,NA
SB182,9/28/17,36,ND,ND,0,276757,NA
SB183,10/18/17,6,2,ND,0,239841,NA
SB184,10/18/17,13,24,ND,2,49207,NA
SB185,10/18/17,18,10,ND,0,164,NA
SB186,10/18/17,22,43,ND,10,50927,NA
SB187,10/18/17,27,5,ND,0,2133,NA
SB188,10/18/17,32,7,ND,0,6782,NA
SB189,10/18/17,34,5,ND,0,5018,NA
SB190,10/18/17,657,3,ND,0,82226,NA
SB191,10/27/17,18,35,ND,9,14282,1
SB192,10/27/17,22,5,ND,0,8462,NA
SB193,10/27/17,27,5,ND,0,59784,NA
SB194,10/27/17,32,3,ND,1,33774,NA
SB195,10/27/17,36,4,ND,0,155911,NA
SB196,11/14/17,6,3,ND,0,129,NA
SB197,11/14/17,13,5,ND,0,229,NA
