BG_ID	Date	Station	Total Phyto Reads	Actinocyclus	Actinoptychus	Adriamonas	Alexandrium	Amoebophrya_sp_Dinophysis	Amoebophrya_sp_Gymnodinium	Amoebophrya_sp_Karlodinium	Amoebophrya_sp_Prorocentrum	Amoebophrya_sp_Scrippsiella	Apedinella	Aplanochytrium	Archaeplastida	Asteromphalus	Aulacoseira	Aureococcus	Bacillariophyceae	Bathycoccus	Bicosoeca	Bicosoecida	Biddulphia	Bolidomonas	Brockmanniella	Cerataulina	Chaetoceros	Charophyta	Chlamydomonadales	Chlamydomonas	Chlorophyceae	Chlorophyta	Chloroplastida	Chromulinales	Chroomonas	Chrysocampanula	Chrysochromulina	Chrysophyceae	Coccolithales	Cocconeis	Coscinodiscus	Crustomastix	Cryptomonadales	Cryptomonas	Cryptophyceae	Cyclotella	Cylindrotheca	Cymbomonas	Desmodesmus	Dinoflagellata	Dinophysis	Ditylum	Duboscquella	Eucampia	Euduboscquella	eukaryote_marine_clone	Eunotogramma	Gonyaulacales	Gonyaulax	Guinardia	Gymnodinium_clade	Gyrodinium	Hafniomonas	Helicotheca	Hemiarma	Hemiselmis	Heterocapsa	Heterosigma	Isochrysidales	Karlodinium	Katablepharis	Lauderia	Lepidodinium	Leptocylindrus	Mallomonas	Mamiella	Mantoniella	Mediophyceae	Melosira	Micromonas	Monomastix	Mychonastes	Nannochloropsis	Navicula	Neoceratium	Nephroselmis	Nerada	Nitzschia	Noctiluca	Ochrophyta	Odontella	Ostreococcus	Oxyrrhis	Paramonas	Paraphysomonas	Pavlova	Pedinellales	Pedinomonas	Peridiniopsis	Phaeocystis	Plagioselmis	Pleurosigma	Protoperidinium	Prymnesiales	Prymnesiophyceae	Prymnesium	Pseudoisochrysis	Pseudonitzschia	Pseudopedinella	Pteridomonas	Pterosperma	Pyramimonas	Rhizosolenia	Rhodomonas	Skeletonema	Spermatozopsis	Spumella	Stramenopiles	Suessiaceae	Syndiniales	Synedra	Synura	Teleaulax	Telonema	Tetraselmis	Thalassiosira	Thoracosphaeraceae	Thraustochytriaceae	Thraustochytrium	Trebouxiophyceae	Triparma	Ulnaria	Ulvophyceae	Vorticellides	Zygnematophyceae	Stoeckeria	Peridiniales	Akashiwo	eukaryote_clone	Picochlorum	Minidiscus	Fragilariopsis	Scrippsiella	Prorocentrum	Amoebophyra	Amoebophyra_sp_Cochlodinium	Stephanodiscus	Thraustochytriidae	Entomoneis	Pedinophyceae	Symbodinium	Geminigera	prasinophyte	Paragymnodinium	Pediastrum	Gymnodinium	Discostella	Amoebophrya
SB362	12/10/2014	18	14914	0	4	0	390	0	0	65	299	0	27	0	11	5	0	9	19	406	0	20	0	46	0	0	28	158	0	0	0	151	0	0	0	0	69	0	0	0	14	0	418	0	0	0	11	0	0	2947	0	46	72	0	116	379	0	55	0	0	1266	304	0	0	0	110	7	3	38	134	181	0	0	0	0	0	0	824	0	141	0	0	0	0	1457	0	0	0	38	259	29	139	0	0	10	0	13	0	0	9	0	0	39	51	14	24	0	2	0	0	0	739	0	168	157	0	0	69	0	18	0	0	1756	383	0	348	14	9	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	338
SB363	12/10/2014	22	13577	1	13	0	302	8	5	28	178	0	24	19	0	8	0	36	48	425	0	23	7	22	0	5	71	33	0	0	0	194	22	0	0	0	38	0	0	0	42	0	567	0	6	0	4	0	0	2747	5	36	62	4	110	771	2	4	3	19	992	360	0	0	0	60	16	6	78	184	290	0	0	0	0	0	9	785	3	166	0	0	0	2	443	0	0	0	50	252	18	138	0	0	18	0	5	0	0	44	0	0	0	74	29	13	0	5	0	0	2	561	0	210	157	0	0	55	0	23	0	0	1654	300	0	181	0	24	0	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	395
SB364	12/10/2014	27	13834	0	0	0	27	41	2	20	15	0	26	0	0	0	0	16	25	286	0	17	0	6	0	0	0	11	0	0	0	82	8	0	0	0	22	0	0	0	29	0	659	0	0	0	5	0	0	3223	0	16	6	0	58	254	0	0	238	0	2781	45	0	0	0	172	0	5	0	193	214	0	0	0	0	0	0	554	0	78	0	0	0	0	0	0	0	0	0	32	4	127	0	0	0	0	0	0	0	0	0	0	14	16	0	1	0	0	0	2	0	1560	0	99	71	0	0	6	0	19	0	0	2194	91	3	171	29	0	10	125	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	124
SB365	12/10/2014	32	11611	0	5	0	3	0	0	17	0	0	13	0	0	0	0	47	74	649	0	47	0	25	0	0	16	27	0	0	0	239	0	0	0	0	24	0	5	0	0	0	1015	0	5	0	6	0	0	1064	0	10	17	0	21	346	33	0	10	0	409	272	0	0	0	245	0	0	0	193	559	0	0	0	0	4	0	2082	0	189	0	0	8	28	0	0	0	0	0	154	0	160	0	0	10	0	0	0	0	0	0	0	0	8	0	6	0	0	0	0	0	957	0	373	170	0	0	26	4	94	0	0	1198	107	0	313	0	24	13	192	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92
SB366	12/10/2014	36	12453	0	0	0	0	0	2	13	1	0	18	3	0	0	0	25	62	467	6	3	0	18	0	0	45	27	0	0	0	225	31	0	0	0	23	0	1	0	2	2	1290	0	11	0	0	0	0	681	0	13	56	0	0	545	15	0	0	0	254	269	0	4	0	264	0	19	0	68	1002	0	0	0	0	9	0	2553	0	118	0	0	10	6	0	0	0	3	0	89	2	175	0	0	11	0	2	0	0	0	0	0	0	0	0	3	0	0	0	0	0	991	0	346	105	0	0	11	37	286	0	0	1745	85	3	89	0	10	2	174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123
SB367	12/10/2014	657	5592	0	0	67	0	0	0	0	0	0	0	0	10	0	11	0	20	0	17	876	0	9	0	0	0	308	15	3	25	112	2	103	3	0	0	0	0	0	0	11	275	735	3	3	0	0	1	44	0	0	0	0	0	77	0	0	0	0	1	0	0	0	0	35	0	0	0	5	15	0	0	0	8	0	0	100	13	0	15	8	0	12	0	0	93	1	0	950	0	186	0	732	166	0	0	7	9	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	11	17	91	183	45	0	0	50	30	9	0	28	0	0	11	14	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SB1	3/13/2015	18	48934	16	0	0	170	22	78	144	92	285	126	27	0	0	0	13	42	1111	0	0	0	66	0	99	617	482	0	0	0	4	15	0	0	0	165	0	0	0	1070	0	1318	0	277	0	4	3	0	7022	35	294	44	41	289	920	0	0	0	128	0	2376	0	0	0	1052	278	96	82	2216	872	0	0	31	0	0	0	2	0	2013	0	0	0	54	0	74	0	0	179	622	4	937	0	0	85	0	41	0	0	17	0	5	162	78	25	23	0	20	0	0	0	3534	11	260	146	0	0	2495	197	8	0	0	3030	1086	33	419	43	23	0	523	2	0	4	0	0	0	0	0	4	196	3237	14	74	193	663	106	0	0	0	44	0	1773	7	0	0	4446	0	0
SB2	3/13/2015	22	10432	2	0	0	16	24	0	12	20	46	42	9	0	0	0	3	11	305	0	0	0	8	2	8	54	153	0	0	3	3	10	0	0	0	61	0	2	0	308	0	303	0	66	0	0	0	0	1240	0	378	16	8	23	163	0	0	11	10	0	267	0	0	0	229	165	5	5	534	161	0	0	3	0	0	0	0	0	471	0	0	0	0	0	13	0	0	87	116	3	215	0	0	4	0	5	0	0	2	0	0	21	26	2	12	0	3	2	0	0	769	4	64	72	0	0	373	0	24	0	0	616	196	0	275	9	5	0	65	0	0	0	0	0	0	0	0	3	10	1091	2	0	37	56	30	0	0	0	7	0	370	0	0	0	683	0	0
SB3	3/13/2015	27	24934	0	15	0	0	61	0	13	52	0	290	3	0	0	0	15	50	214	0	0	0	11	0	0	0	36	0	0	9	110	8	0	0	0	49	0	7	0	24	2	980	7	145	0	0	0	0	2928	0	145	119	0	0	435	18	0	61	0	0	106	0	4	0	1563	0	0	0	582	1164	0	0	0	0	0	25	0	0	628	0	0	0	2	0	80	0	0	0	219	0	369	0	0	73	0	14	0	0	0	0	0	16	19	12	35	0	0	0	0	0	1663	0	288	290	0	0	1926	0	52	0	0	4407	549	8	441	0	15	0	35	6	0	0	0	0	0	0	0	0	35	1722	0	0	56	22	75	0	0	0	64	0	388	0	0	0	2174	0	0
SB4	3/13/2015	32	5884	0	8	0	0	4	0	0	147	8	21	4	0	0	0	4	8	69	0	0	0	15	0	0	11	10	0	0	2	36	6	0	0	0	34	0	2	0	0	0	175	0	24	0	0	0	0	271	0	23	0	0	0	134	12	0	0	0	0	306	0	2	0	307	167	0	0	35	94	0	0	0	0	0	13	0	0	219	0	0	6	2	0	23	0	0	0	72	0	128	3	0	16	0	28	0	0	0	0	0	0	5	2	0	0	0	0	0	0	138	0	120	207	0	0	401	0	0	0	0	477	36	0	314	16	3	0	26	7	0	0	0	0	0	0	0	0	16	1430	0	0	14	4	37	0	0	0	22	0	131	0	0	0	29	0	0
